law,stage,concept_id,intervenciones_con_concepto,intervenciones,proporcion,concept_label,short_label
Ley 21.735,Segundo Trámite Constitucional,identidad,9,67,0.13432835820895522,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal"
Ley 21.735,Segundo Trámite Constitucional,igualdad_universalismo,24,67,0.3582089552238806,Igualdad y universalismo,Igualdad y universalismo
Ley 21.735,Segundo Trámite Constitucional,ilegitimidad_origen_dictatorial,9,67,0.13432835820895522,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial"
Ley 21.735,Segundo Trámite Constitucional,ineficiencia_estado,16,67,0.23880597014925373,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal"
Ley 21.735,Segundo Trámite Constitucional,libertad_eleccion_previsional,9,67,0.13432835820895522,Libertad de elección previsional,"Libertad de elección
previsional"
Ley 21.735,Segundo Trámite Constitucional,necesidad_material,27,67,0.40298507462686567,Necesidad material,Necesidad material
Ley 21.735,Segundo Trámite Constitucional,prevision_como_mercado,39,67,0.582089552238806,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.735,Segundo Trámite Constitucional,propiedad_individual_fondos,18,67,0.26865671641791045,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.735,Segundo Trámite Constitucional,reciprocidad_contributiva,22,67,0.3283582089552239,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.735,Segundo Trámite Constitucional,solidaridad_intergeneracional,8,67,0.11940298507462686,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.735,Segundo Trámite Constitucional,solidaridad_previsional_colectiva,7,67,0.1044776119402985,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
Ley 21.735,Tercer Trámite Constitucional,actitud,0,139,0,Actitud del beneficiario,Actitud del beneficiario
Ley 21.735,Tercer Trámite Constitucional,acuerdos_moderacion,53,139,0.381294964028777,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática"
Ley 21.735,Tercer Trámite Constitucional,capitalizacion_individual,26,139,0.18705035971223022,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento"
Ley 21.735,Tercer Trámite Constitucional,conciencia_costos,22,139,0.15827338129496402,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto"
Ley 21.735,Tercer Trámite Constitucional,control_responsabilidad_individual,2,139,0.014388489208633094,Control y responsabilidad individual,"Control y responsabilidad
individual"
Ley 21.735,Tercer Trámite Constitucional,identidad,27,139,0.19424460431654678,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal"
Ley 21.735,Tercer Trámite Constitucional,igualdad_universalismo,43,139,0.30935251798561153,Igualdad y universalismo,Igualdad y universalismo
Ley 21.735,Tercer Trámite Constitucional,ilegitimidad_origen_dictatorial,21,139,0.1510791366906475,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial"
Ley 21.735,Tercer Trámite Constitucional,ineficiencia_estado,29,139,0.20863309352517986,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal"
Ley 21.735,Tercer Trámite Constitucional,libertad_eleccion_previsional,15,139,0.1079136690647482,Libertad de elección previsional,"Libertad de elección
previsional"
Ley 21.735,Tercer Trámite Constitucional,necesidad_material,55,139,0.39568345323741005,Necesidad material,Necesidad material
Ley 21.735,Tercer Trámite Constitucional,prevision_como_mercado,68,139,0.4892086330935252,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.735,Tercer Trámite Constitucional,propiedad_individual_fondos,38,139,0.2733812949640288,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.735,Tercer Trámite Constitucional,reciprocidad_contributiva,42,139,0.302158273381295,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.735,Tercer Trámite Constitucional,solidaridad_intergeneracional,11,139,0.07913669064748201,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.735,Tercer Trámite Constitucional,solidaridad_previsional_colectiva,8,139,0.05755395683453238,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
