law,old_unit_id,new_unit_id,old_sha256,new_sha256,old_words,new_words
21538,utt_7d90e763ba6d613a3944::p0006-p0009,utt_7d90e763ba6d613a3944::p0006-p0009,466778a269fb83cbcc3267cdf58d7e493a9b6cdbe452799135ad6431cea26011,466778a269fb83cbcc3267cdf58d7e493a9b6cdbe452799135ad6431cea26011,112,112
21538,utt_b42e13eb8f38927d9644::p0001-p0004,utt_b42e13eb8f38927d9644::p0001-p0004,62185c26ae025876c73f52a873b7ac3252a269af3f1fa61524fce723bae6afdb,62185c26ae025876c73f52a873b7ac3252a269af3f1fa61524fce723bae6afdb,66,66
21538,utt_f7ebb6d260f940b78280::p0001-p0003,utt_f7ebb6d260f940b78280::p0001-p0003,d820d890191784266a7cf4f1d12d054804c2b32fced4ee886aea8ccf198a0dc3,d820d890191784266a7cf4f1d12d054804c2b32fced4ee886aea8ccf198a0dc3,97,97
21538,utt_f7ebb6d260f940b78280::p0004,utt_f7ebb6d260f940b78280::p0004,26d65cd75a5f8464fc3c0262e02051ffab1c35d2963b80eb3d9cd17c71029fb7,26d65cd75a5f8464fc3c0262e02051ffab1c35d2963b80eb3d9cd17c71029fb7,110,110
21538,utt_f7ebb6d260f940b78280::p0005,utt_f7ebb6d260f940b78280::p0005,8459eae63a1f83165a50690dba5bd18cf6103859baf540d5a83ff5af4b0860f1,8459eae63a1f83165a50690dba5bd18cf6103859baf540d5a83ff5af4b0860f1,108,108
21538,utt_f7ebb6d260f940b78280::p0006-p0007,utt_f7ebb6d260f940b78280::p0006-p0007,2b8dfe863af29ef32aa310b4c63f03f982ad66a4ba9cbc9d0abb87b1a7500c41,2b8dfe863af29ef32aa310b4c63f03f982ad66a4ba9cbc9d0abb87b1a7500c41,78,78
21538,utt_0127e7801678c75f512a::p0001-p0002,utt_0127e7801678c75f512a::p0001-p0002,524488f2b852982443bb4faaf48b343d22f4ee843e5b3decd9cd830698cc9321,524488f2b852982443bb4faaf48b343d22f4ee843e5b3decd9cd830698cc9321,147,147
21538,utt_0127e7801678c75f512a::p0003-p0006,utt_0127e7801678c75f512a::p0003-p0006,06b2f849d8bc0c9e8eefe0f06b4be6e56e4d9a0e618343c49f9ea12a5da86879,06b2f849d8bc0c9e8eefe0f06b4be6e56e4d9a0e618343c49f9ea12a5da86879,145,145
21538,utt_a11123570c0f7f40ab40::p0001-p0004,utt_a11123570c0f7f40ab40::p0001-p0004,b69cae35adf80c5f68d7c1b6e14404236c7f1f9d68bfc04ce2079522b0991c0b,b69cae35adf80c5f68d7c1b6e14404236c7f1f9d68bfc04ce2079522b0991c0b,62,62
21538,utt_1f11d0635a58c17cf3c8::p0001,utt_1f11d0635a58c17cf3c8::p0001,306ab206a0996d694564dfdf96e3ddc4ef3a7a54b2fd27aebf29a62cf4378aea,306ab206a0996d694564dfdf96e3ddc4ef3a7a54b2fd27aebf29a62cf4378aea,74,74
21538,utt_1f11d0635a58c17cf3c8::p0002,utt_1f11d0635a58c17cf3c8::p0002,837d07b6ffa229c60db87a344a6d55dbec20a448ee6c441b9490de999f83b28d,837d07b6ffa229c60db87a344a6d55dbec20a448ee6c441b9490de999f83b28d,104,104
21538,utt_1f11d0635a58c17cf3c8::p0003,utt_1f11d0635a58c17cf3c8::p0003,58b937a1b87d0a1dec92db6875fe5bf13c028a5a76c3d22c680990bb80a3e0cb,58b937a1b87d0a1dec92db6875fe5bf13c028a5a76c3d22c680990bb80a3e0cb,50,50
21538,utt_1f11d0635a58c17cf3c8::p0004-p0006,utt_1f11d0635a58c17cf3c8::p0004-p0006,3d5d7e9a5c1ada4d4f4791e568d6f049c6e653eff42b0b18130b0bd86bcf7b6e,3d5d7e9a5c1ada4d4f4791e568d6f049c6e653eff42b0b18130b0bd86bcf7b6e,95,95
21538,utt_c0e6a731d2cdb33a8388::p0001-p0002,utt_c0e6a731d2cdb33a8388::p0001-p0002,9218687f70b9b2f7ba5ecdd0b7f5ea556ea226a50b37c2c385f52f4bdbd9babe,9218687f70b9b2f7ba5ecdd0b7f5ea556ea226a50b37c2c385f52f4bdbd9babe,35,35
21538,utt_24076c18c3fdcff954ca::p0001,utt_24076c18c3fdcff954ca::p0001,1a8ee7cf5d4e52614e2cfc1efce9c225fddc0e7137ffab507b0722c02f261c40,1a8ee7cf5d4e52614e2cfc1efce9c225fddc0e7137ffab507b0722c02f261c40,89,89
21538,utt_24076c18c3fdcff954ca::p0002,utt_24076c18c3fdcff954ca::p0002,ca14fe325624b2370fe0da21dcee89887b40b0e54816e8e09d9df8ac296f9318,ca14fe325624b2370fe0da21dcee89887b40b0e54816e8e09d9df8ac296f9318,111,111
21538,utt_24076c18c3fdcff954ca::p0003-p0004,utt_24076c18c3fdcff954ca::p0003-p0004,dc9a2816406de0f775478418eb93735ee955cd152e64dfbae2f476a405477ca4,dc9a2816406de0f775478418eb93735ee955cd152e64dfbae2f476a405477ca4,134,134
21538,utt_24076c18c3fdcff954ca::p0005-p0006,utt_24076c18c3fdcff954ca::p0005-p0006,a7441dd5291572634d523a9fec4620a1f7408de277dc5d7bfc4b775bcf3bd865,a7441dd5291572634d523a9fec4620a1f7408de277dc5d7bfc4b775bcf3bd865,55,55
21538,utt_fe339b0902ee4b2633a2::p0001-p0002,utt_fe339b0902ee4b2633a2::p0001-p0002,7e8a96a05eb905954838a5c8ac2a597cdab0e6a21741222014cdae7241f56e2f,7e8a96a05eb905954838a5c8ac2a597cdab0e6a21741222014cdae7241f56e2f,54,54
21538,utt_f24ce85933c5fdfbe616::p0001,utt_f24ce85933c5fdfbe616::p0001,10eb737ea7a972bcc5bfee6838e3c46f976da461deb983f58c0f4c9b42aacb8a,10eb737ea7a972bcc5bfee6838e3c46f976da461deb983f58c0f4c9b42aacb8a,18,18
21538,utt_5684bc94cfa5b89bcf24::p0001,utt_5684bc94cfa5b89bcf24::p0001,edc62da83a875c6c8a2bf36a4ab0a2f20d1ad2f1f7e784882859ea07a30e53c8,edc62da83a875c6c8a2bf36a4ab0a2f20d1ad2f1f7e784882859ea07a30e53c8,6,6
21538,utt_3d16c3903d67c3cb91de::p0001-p0002,utt_3d16c3903d67c3cb91de::p0001-p0002,0d210faeecb4b0db7a0fd03a43e8bf6f45f0aa719cfe50bda40fff99eb9568d1,0d210faeecb4b0db7a0fd03a43e8bf6f45f0aa719cfe50bda40fff99eb9568d1,52,52
21538,utt_c69180e72560d485371f::p0001-p0004,utt_c69180e72560d485371f::p0001-p0004,c0dd10abf20ca6d1903e29534f381138e1c45f189e40971f9cccc5809b80effe,c0dd10abf20ca6d1903e29534f381138e1c45f189e40971f9cccc5809b80effe,133,133
21538,utt_b618927ea35ecaa7ec1d::p0001,utt_b618927ea35ecaa7ec1d::p0001,7ccedc82890903a2fd1f06207ffba1cf0932cb4803950b5bbd5052e3893e0569,7ccedc82890903a2fd1f06207ffba1cf0932cb4803950b5bbd5052e3893e0569,18,18
21538,utt_613c5c803695564e1d3e::p0001-p0004,utt_613c5c803695564e1d3e::p0001-p0004,7b039cba7ba53cdcd7c388c8041dd3daf48ec5cff91810a42c21d5a2db953a40,7b039cba7ba53cdcd7c388c8041dd3daf48ec5cff91810a42c21d5a2db953a40,103,103
21538,utt_ffc413f03c80d91e4eab::p0001-p0002,utt_ffc413f03c80d91e4eab::p0001-p0002,a2c0774c4e6fe574cb7cb310d414b79cbad4f25cb485957119ce5f4574caedfb,a2c0774c4e6fe574cb7cb310d414b79cbad4f25cb485957119ce5f4574caedfb,66,66
21538,utt_05cd97d1ff33eee1a595::p0001,utt_05cd97d1ff33eee1a595::p0001,7d20406693ba7d45d74b9f11f593931e5e33c0ee78db82a2884dfcfd9dde2fcb,7d20406693ba7d45d74b9f11f593931e5e33c0ee78db82a2884dfcfd9dde2fcb,37,37
21538,utt_b1e745197821b3f201da::p0001-p0004,utt_b1e745197821b3f201da::p0001-p0004,c00c79a8c159c05dc76c7dbb762d0963e0130661d2292b92c99f5eb788c2d95b,c00c79a8c159c05dc76c7dbb762d0963e0130661d2292b92c99f5eb788c2d95b,88,88
21538,utt_0deedd57a4d8e7017f09::p0001-p0002,utt_0deedd57a4d8e7017f09::p0001-p0003s001,5aafc0e6f9e9b3f2e2894cd26121f8b5ffbe83e4961ebff439f6e88d01762a7b,f078549fa76c2c80d329a232a91ed0a1c0dfd72e870a7b673181ab10181161fa,5,155
21538,utt_0deedd57a4d8e7017f09::p0003s001,utt_0deedd57a4d8e7017f09::p0001-p0003s001,8a079451bb97d9d313f87e9c45911cedcfbf929342cebfacb20f60633a639e19,f078549fa76c2c80d329a232a91ed0a1c0dfd72e870a7b673181ab10181161fa,150,155
21538,utt_0deedd57a4d8e7017f09::p0003s002,utt_0deedd57a4d8e7017f09::p0003s002,99c91ea3f7490de72c2a06c8d244e112adb3f74cee65bcdf46f32b366e153465,99c91ea3f7490de72c2a06c8d244e112adb3f74cee65bcdf46f32b366e153465,150,150
21538,utt_0deedd57a4d8e7017f09::p0003s003-p0005,utt_0deedd57a4d8e7017f09::p0003s003-p0005,fcfc77ce1533e2db0742cd8c8d3e1097c9961cbf05f4ed585371f0678b5f675b,fcfc77ce1533e2db0742cd8c8d3e1097c9961cbf05f4ed585371f0678b5f675b,120,120
21538,utt_d465aa75e1f666cc85ca::p0001-p0002,utt_d465aa75e1f666cc85ca::p0001-p0002,3c53b636da0c9198beb0570667608b122b91fed30b5f506d0344447441200189,3c53b636da0c9198beb0570667608b122b91fed30b5f506d0344447441200189,98,98
21538,utt_cbfeb7122ce025fedb18::p0001-p0002,utt_cbfeb7122ce025fedb18::p0001-p0002,f767de848a8d8e8a091442965f352a10e12324cdfacf7f924f36034b6be6429b,f767de848a8d8e8a091442965f352a10e12324cdfacf7f924f36034b6be6429b,85,85
21538,utt_a703736d432ca4c42b55::p0001,utt_a703736d432ca4c42b55::p0001,4afb70f0e6674bc6a8e397b1e93e18c31a1506be3b97a0f4df733c55633dd019,4afb70f0e6674bc6a8e397b1e93e18c31a1506be3b97a0f4df733c55633dd019,71,71
21538,utt_c40042f779ebe8138259::p0001-p0003,utt_c40042f779ebe8138259::p0001-p0003,8e5b8f55d228ac5ac28792ddc5d64a46d1d0b62d971abfc40ff662903f747752,8e5b8f55d228ac5ac28792ddc5d64a46d1d0b62d971abfc40ff662903f747752,109,109
