run_id,run_role,sample_index,unit_id,response_id,model,status,api_status,incomplete_reason,usage_available,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,response_path,response_sha256,request_sha256,started_at_utc,finished_at_utc,duplicate_response_id
pilot_f3a69c2f81c587271ef5,pilot,182,utt_024ff50c232258d48119::p0003s002-p0004,resp_014fed7a1b9072c4016aa06b01cd0087d1a758b44f571c1188,gpt-5.6-luna,completed,completed,,True,6280,5336,483,385,6763,output/annotations/pilot_f3a69c2f81c587271ef5/results/00182.json,3f72ef85d402da508a5aad5561e32aa80421a110249e38fbff46eacd84410bfb,2beac75c5c3a24111729bc74d187d017f8078855c4c0fc953048a942dc8e1092,2026-09-08T20:07:29.642554+00:00,2026-09-08T20:07:36.913485+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,183,utt_024ff50c232258d48119::p0005s001,resp_076aa59e552f3562016aa06b0234fc87d1ac6ad51a4ac9bad1,gpt-5.6-luna,completed,completed,,True,6168,5336,397,291,6565,output/annotations/pilot_f3a69c2f81c587271ef5/results/00183.json,f78da7023d07eab611c5be5c474962ec4cc707cc787dac14dd5b9ddd36ffcd4d,558f37cf380088a2c6e08ccfe6f484c1c9ea458b0972bbbbb5176c2e5359fff8,2026-09-08T20:07:30.029817+00:00,2026-09-08T20:07:36.425747+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,184,utt_024ff50c232258d48119::p0005s002-p0007,resp_02b01e89b0cfc7b3016aa06b04150087d1806624f77fa2b0cb,gpt-5.6-luna,completed,completed,,True,6118,5336,624,516,6742,output/annotations/pilot_f3a69c2f81c587271ef5/results/00184.json,291563aa770f3316b9c749c0f61d4cc761e3aff6b157df1334836b03345a4a5a,29b6217aec3eb299e5c618d58c73e4473dbc3caac718bdf1b586f43e5f244cf8,2026-09-08T20:07:31.916709+00:00,2026-09-08T20:07:41.584153+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,185,utt_e3a9eed708daa052613f::p0001-p0003s001,resp_0979625f3662ccb1016aa06b076e8487d1ae5941581bbfc8a0,gpt-5.6-luna,completed,completed,,True,6130,5336,369,257,6499,output/annotations/pilot_f3a69c2f81c587271ef5/results/00185.json,acc99e6b0d280918dc4dcdfb19e0403ef18665211e463950606277dabb08778c,3696d23893549be8bbbe4a610b1e1144b9fb8726ebcee31ed27755235fcdc8a0,2026-09-08T20:07:35.279646+00:00,2026-09-08T20:07:40.790022+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,186,utt_e3a9eed708daa052613f::p0003s002-p0004,resp_005b6a74c3dec085016aa06b089ca887d18b525ccfbbb83d56,gpt-5.6-luna,completed,completed,,True,6285,5336,1143,1034,7428,output/annotations/pilot_f3a69c2f81c587271ef5/results/00186.json,20447de42318fab9a055f9eeb009c9cbb21ae8fd5ff3f7245c8957f3b4ee66f5,bfad108c363d4750291e5d4b1addef589efc8012d823b9d25ab8969745a8a333,2026-09-08T20:07:36.431578+00:00,2026-09-08T20:07:51.885555+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,187,utt_e3a9eed708daa052613f::p0005s001,resp_03eb653842b39ead016aa06b0913dc87d18ebea9cf20291968,gpt-5.6-luna,completed,completed,,True,6151,5336,512,408,6663,output/annotations/pilot_f3a69c2f81c587271ef5/results/00187.json,3951f97a4182005fd3cd8127eba4626ea1c410abc7837c3e428da5179aff7303,aaeda7528764e50589b922e40db79bf34637cadcc2e8a873dce8f142b87e8a25,2026-09-08T20:07:36.916522+00:00,2026-09-08T20:07:44.058182+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,188,utt_e3a9eed708daa052613f::p0005s002,resp_0579ef670aac8005016aa06b0cf38c87d1bae2e7df376b9abc,gpt-5.6-luna,completed,completed,,True,6059,5336,1147,1034,7206,output/annotations/pilot_f3a69c2f81c587271ef5/results/00188.json,7976efa4f7454d559cc39a4e5ec98c1e4b15df988edd317abab4513e2d31bf75,6b7c961b2112bb55fcf3bb5ad9767c34882fbf35be4f790bb38eabee02d63226,2026-09-08T20:07:40.795315+00:00,2026-09-08T20:07:55.793445+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,189,utt_6a18689707125b4eec6a::p0001-p0003,resp_004e86319c9c77b3016aa06b0dc41087d1ace9c04c92ecbd9f,gpt-5.6-luna,completed,completed,,True,6297,5336,343,244,6640,output/annotations/pilot_f3a69c2f81c587271ef5/results/00189.json,ef2f3de93038ff4036585735222f0ce5269daf0016fa5809fba41c8a5a9e82e4,d4b58eba12b26d0dec88351585fbeff881a8944aa954ea47063ff2afac9fc6e3,2026-09-08T20:07:41.588995+00:00,2026-09-08T20:07:46.884797+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,190,utt_61101a1951242e60694a::p0001-p0003,resp_033163811e521ae2016aa06b1038b887d1a83ba630e430afc7,gpt-5.6-luna,completed,completed,,True,6066,5336,416,299,6482,output/annotations/pilot_f3a69c2f81c587271ef5/results/00190.json,2181815a899f0e240e55e535d412c5246cfadce1842c16403eee80574c36117b,54aa1e871a8b5f4d1efef3de1c1846c69bb78e04b3f2f13a064cd4f678bc5738,2026-09-08T20:07:44.063507+00:00,2026-09-08T20:07:49.632227+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,191,utt_2d25f02b3902ab9b3984::p0001-p0003s001,resp_0e269def921c267f016aa06b13110887d1ab35201703a4474b,gpt-5.6-luna,completed,completed,,True,6086,5336,381,280,6467,output/annotations/pilot_f3a69c2f81c587271ef5/results/00191.json,1daf9832441f008bc8c01de07c77f37a94f69f9ce26fe5ffd66dc58f9f6b7fcc,e62a44c486f9f385c9461ed5d1065e6c7c996a584f17d337424876dda03c1a10,2026-09-08T20:07:46.888143+00:00,2026-09-08T20:07:53.592392+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,192,utt_2d25f02b3902ab9b3984::p0003s002-p0004,resp_06f7c5449062359b016aa06b15ce2087d1afe50ffbf6261a5a,gpt-5.6-luna,completed,completed,,True,6268,5336,615,516,6883,output/annotations/pilot_f3a69c2f81c587271ef5/results/00192.json,0d57d8bb7332df233899818f26dbef81d81483886ec996ff881e78b4cabc2e4c,bc87145d0c2a923b565b9e6b98e79e4d40cee3f12fe83aadcf147c6e3ae37771,2026-09-08T20:07:49.635819+00:00,2026-09-08T20:07:58.048573+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,193,utt_2d25f02b3902ab9b3984::p0005s001,resp_0af915522ec0a5c0016aa06b180f6487d18f5f04b2dee39851,gpt-5.6-luna,completed,completed,,True,6158,5336,353,260,6511,output/annotations/pilot_f3a69c2f81c587271ef5/results/00193.json,1b7722e932ceeb2492794807ac03eeb2c961abbfdf4a82b1c9a6e2eb45d9e529,d3fcd6c61ee24dd1fdd53d16110407064ba5ffc4123121db30eea36f83581560,2026-09-08T20:07:51.888726+00:00,2026-09-08T20:07:57.651747+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,194,utt_2d25f02b3902ab9b3984::p0005s002-p0007,resp_0d84d9908bed90a8016aa06b19fd2887d1a7cce329db20c4e4,gpt-5.6-luna,completed,completed,,True,6098,5336,417,328,6515,output/annotations/pilot_f3a69c2f81c587271ef5/results/00194.json,f2636db1dc743ccfd16910f2032006dfe08b977592f61161e6f17f3c539f4255,dbe9984064ea25955581c09162299ea62eef45190ff08ebb19d21de089002048,2026-09-08T20:07:53.597077+00:00,2026-09-08T20:08:02.619284+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,195,utt_aea0a0edf8c3e18e8fac::p0001-p0002,resp_0a8d76b3645b1d44016aa06b1bf9e087d194230cc77df4c85c,gpt-5.6-luna,completed,completed,,True,5651,5336,669,516,6320,output/annotations/pilot_f3a69c2f81c587271ef5/results/00195.json,87193598a7cf32ffeec1bb70f618682a3c1b454c49a627014db885af267ec752,5124e74714ade88b95e9c38135d2e2819e66791038fb98a852bce3ad004c47a6,2026-09-08T20:07:55.796932+00:00,2026-09-08T20:08:05.163378+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,196,utt_06d41cf1494d0e34929c::p0001-p0002,resp_0357e8845c85e229016aa06b1dd37c87d181c88c93ede40aba,gpt-5.6-luna,completed,completed,,True,5598,5336,518,394,6116,output/annotations/pilot_f3a69c2f81c587271ef5/results/00196.json,905ca2bc44ed1d1988c903a5fc73a284466b88759826f27353b22014deda5bbc,6a0d16c541cf6cb3c5c4e726bb5e40ff886ecdbf80d2629814eadf338f09c540,2026-09-08T20:07:57.655756+00:00,2026-09-08T20:08:04.877884+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,197,utt_68b2030a0c84dbf8d889::p0001-p0003,resp_05ced9f761cd9c72016aa06b1e387487d19c63ad701a96a36e,gpt-5.6-luna,completed,completed,,True,5903,5336,609,516,6512,output/annotations/pilot_f3a69c2f81c587271ef5/results/00197.json,1e927a36ff2bc9baada8ff29a2b0c222c5bf7d7c71297da12f8302470906a82b,df160b742b087eebe12e2f05820d599ce9189fded80d4c0c587160821044b1a4,2026-09-08T20:07:58.052861+00:00,2026-09-08T20:08:09.854169+00:00,False
