username;link;party;location;function;since;until
Pieter_Kos;twitter.com/Pieter_Kos;gl;den helder;wethouder;;
robertkleinjr;twitter.com/robertkleinjr;stadspartij;den helder;;;2018
JacquesHappe;twitter.com/JacquesHappe;d66;amersfoort;;;
berthoman;twitter.com/berthoman;vvd;drenthe;;;
hansnijhof;twitter.com/hansnijhof;gl;utrecht;;;2018
AnnaLenaPx;twitter.com/AnnaLenaPx;pvda;;;;
IsabelleDiks;twitter.com/IsabelleDiks;gl;;;;
msyap;twitter.com/msyap;pvda;roosendaal;;;
CP_4_Heerlen;twitter.com/CP_4_Heerlen;realisten;heerlen;;;2018
rvanbraam;twitter.com/rvanbraam;sp;zaanstad;Gemeenteraadslid;;
bbenjamins;twitter.com/bbenjamins;d66;Groningen;;;
MarcoOut;twitter.com/MarcoOut;vvd;assen;Burgemeester;;
mariskasloot;twitter.com/mariskasloot;gvh;haren;Gemeenteraadslid;;
MarcelHouD66;twitter.com/MarcelHouD66;d66;;;;2018
pvdrenth;twitter.com/pvdrenth;nez;;;;
Freijters;twitter.com/Freijters;d66;uden;;;
RutgerGW;twitter.com/RutgerGW;gl;amsterdam;;;
MarjoleinMoor;twitter.com/MarjoleinMoor;pvda;amsterdam;;;
StefBijl;twitter.com/StefBijl;pvda;zevenaar;wethouder;;2017
NienkeHoman;twitter.com/NienkeHoman;gl;;;;
peterdedecker;twitter.com/peterdedecker;nva;gent;;;
Hollander76;twitter.com/Hollander76;vvd;Leeuwarden;Fractievoorzitter;;
EricvKaathoven;twitter.com/EricvKaathoven;sp;;;;
theakoster;twitter.com/theakoster;cda;Leeuwarden;wethouder;;2016
TjerkVoigt;twitter.com/TjerkVoigt;pvda;;;;
marjanvangiezen;twitter.com/marjanvangiezen;pvda;;;;
reinouts;twitter.com/reinouts;gl;rotterdam;;;
HaykeVeldman;twitter.com/HaykeVeldman;vvd;;;;
jurrvandalen;twitter.com/jurrvandalen;d66;;;;
Ritaweeda;twitter.com/Ritaweeda;pvda;;;;
ArthurWarmer67;twitter.com/ArthurWarmer67;pvda;buuren;;;
tenkatejan;twitter.com/tenkatejan;gemeentebelangen;wolden;wethouder;;
GertJanWeierink;twitter.com/GertJanWeierink;vvd;;;;
vergunst;twitter.com/vergunst;gl;Nijmegen;wethouder;;
LennartFeijen;twitter.com/LennartFeijen;sp;zoetermeer;;;2018
lenegrooten;twitter.com/lenegrooten;gl;;;;
ikbenKRIS;twitter.com/ikbenKRIS;gl;;;;
JeroenvanDijen;twitter.com/JeroenvanDijen;sp;;;;
philippebossin;twitter.com/philippebossin;groen;be;;;
wouter2004;twitter.com/wouter2004;sos;be;;;
FrederickVdp;twitter.com/FrederickVdp;vld;be;;;
karinvdburgt;twitter.com/karinvdburgt;d66;wageningen;;;
JasperFastl;twitter.com/JasperFastl;gl;;;;
alfredblokhuize;twitter.com/alfredblokhuize;gl;;;;2015
OeneDoevendans;twitter.com/OeneDoevendans;vvd;;;;
joostvankeulen;twitter.com/joostvankeulen;vvd;;;;
miekebos1;twitter.com/miekebos1;vvd;;;;
haraldvanroekel;twitter.com/haraldvanroekel;hart voor wageningen;;;;
jelhoekstra;twitter.com/jelhoekstra;vvd;;;;
rwaarde;twitter.com/rwaarde;gl;;;;
deburgemeester;twitter.com/deburgemeester;d66;;;;
JeroenMirck;twitter.com/JeroenMirck;d66;;;;2018
Robgeleijnse;twitter.com/Robgeleijnse;pvda;;;;
HeerdJan;twitter.com/HeerdJan;d66;;;;
TonSchijvenaars;twitter.com/TonSchijvenaars;nieuwe democraten;roosendaal;;;2018
ellygezellie;twitter.com/ellygezellie;pvv;;;;
btdegroot;twitter.com/btdegroot;cu;amsterdam;;;
AKerstholt;twitter.com/AKerstholt;vvd;;;;
Dick_Kalkman;twitter.com/Dick_Kalkman;pvda;;;;
ArneSchaddelee;twitter.com/ArneSchaddelee;cu;;;;
ellyvwageningen;twitter.com/ellyvwageningen;cu;lelystad;;;
jackschoone;twitter.com/jackschoone;;lelystad;;;
rijsberman;twitter.com/rijsberman;d66;;;;
Petervanrompuy;twitter.com/Petervanrompuy;cdv;be;;;
wimpelgrim;twitter.com/wimpelgrim;d66;;;;
EuroPaulB;twitter.com/EuroPaulB;d66;;;;
KarinBoelhouwer;twitter.com/KarinBoelhouwer;gl;;;;
Aernoud;twitter.com/Aernoud;cda;;;;
lobkezandstra;twitter.com/lobkezandstra;pvda;;;;
MarusjkaD66;twitter.com/MarusjkaD66;d66;;;;
tombogman;twitter.com/tombogman;spa;be;;;
openvld;twitter.com/openvld;vld;be;partij;;
jeroenfritz;twitter.com/jeroenfritz;pvda;;;;
Worsdorfer;twitter.com/Worsdorfer;vvd;;;;
peterkerris;twitter.com/peterkerris;pvda;;;;
JanitaTabak;twitter.com/JanitaTabak;pvda;kampen;Fractievoorzitter;;
Steijger;twitter.com/Steijger;zeewolde liberaal;zeewolde;Fractievoorzitter;;
hettyjanssen;twitter.com/hettyjanssen;pvda;;;;
marjoleines;twitter.com/marjoleines;pvda;borger-odoorn;;;
msteeman;twitter.com/msteeman;d66;castricum;wethouder;;
MichielScheffer;twitter.com/MichielScheffer;d66;;;;
marjofrenk;twitter.com/marjofrenk;gl;tilburg;wethouder;;
AddyPlieger;twitter.com/AddyPlieger;cu;;;;
Rudi_Oortwijn;twitter.com/Rudi_Oortwijn;gl;culumborg;;;
JockoRensen;twitter.com/JockoRensen;pvda;houten;wethouder;;
janwestert;twitter.com/janwestert;cu;;;;
Akkerjoost;twitter.com/Akkerjoost;vvd;;;;
A_marins;twitter.com/A_marins;pvda;;;2010;2018
sabineandeweg;twitter.com/sabineandeweg;d66;;;;
RuttenGwendolyn;twitter.com/RuttenGwendolyn;vld;be;;;
SandraBeckerman;twitter.com/SandraBeckerman;sp;;;;
sthbracke;twitter.com/sthbracke;nva;be;;;
sabinekoebrugge;twitter.com/sabinekoebrugge;vvd;;;;
