source_row_index,document_uri,title,date,local_speaker_id,speaker_href,person_id,speaker_name,name_key,document_person_key,local_id_reused_across_people,stable_person_uses_multiple_local_ids,stable_person_has_name_conflict
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per68,http://datos.bcn.cl/recurso/persona/5245,5245,alberto undurraga vicuna,ALBERTO UNDURRAGA VICUNA,http://datos.bcn.cl/recurso/cl/documento/704142#per68,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per145,http://datos.bcn.cl/recurso/persona/4880,4880,victor manuel barrera barrera,VICTOR MANUEL BARRERA BARRERA,http://datos.bcn.cl/recurso/cl/documento/704142#per145,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per86,http://datos.bcn.cl/recurso/persona/5246,5246,marcela riquelme aliaga,MARCELA RIQUELME ALIAGA,http://datos.bcn.cl/recurso/cl/documento/704142#per86,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per139,http://datos.bcn.cl/recurso/persona/4816,4816,luciano rivas stepke,LUCIANO RIVAS STEPKE,http://datos.bcn.cl/recurso/cl/documento/704142#per139,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per43,http://datos.bcn.cl/recurso/persona/4748,4748,martin arrau garcia huidobro,MARTIN ARRAU GARCIA HUIDOBRO,http://datos.bcn.cl/recurso/cl/documento/704142#per43,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per135,http://datos.bcn.cl/recurso/persona/4941,4941,camilo francisco benavente jimenez,CAMILO FRANCISCO BENAVENTE JIMENEZ,http://datos.bcn.cl/recurso/cl/documento/704142#per135,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per146,http://datos.bcn.cl/recurso/persona/2050,2050,miguel luis amunategui johnson,MIGUEL LUIS AMUNATEGUI JOHNSON,http://datos.bcn.cl/recurso/cl/documento/704142#per146,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per81,http://datos.bcn.cl/recurso/persona/4536,4536,gabriel boric font,GABRIEL BORIC FONT,http://datos.bcn.cl/recurso/cl/documento/704142#per81,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per18,http://datos.bcn.cl/recurso/persona/4944,4944,fernando ariel oyarzun macias,FERNANDO ARIEL OYARZUN MACIAS,http://datos.bcn.cl/recurso/cl/documento/704142#per18,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per90,http://datos.bcn.cl/recurso/persona/4538,4538,camila vallejo dowling,CAMILA VALLEJO DOWLING,http://datos.bcn.cl/recurso/cl/documento/704142#per90,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per61,http://datos.bcn.cl/recurso/persona/5056,5056,victor gonzalo baraona bezanilla,VICTOR GONZALO BARAONA BEZANILLA,http://datos.bcn.cl/recurso/cl/documento/704142#per61,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per93,http://datos.bcn.cl/recurso/persona/4632,4632,tomas rene hirsch goldschmidt,TOMAS RENE HIRSCH GOLDSCHMIDT,http://datos.bcn.cl/recurso/cl/documento/704142#per93,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per130,http://datos.bcn.cl/recurso/persona/5153,5153,camila merino catalan,CAMILA MERINO CATALAN,http://datos.bcn.cl/recurso/cl/documento/704142#per130,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per15,http://datos.bcn.cl/recurso/persona/4541,4541,kenneth giorgio jackson drago,KENNETH GIORGIO JACKSON DRAGO,http://datos.bcn.cl/recurso/cl/documento/704142#per15,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per47,http://datos.bcn.cl/recurso/persona/4540,4540,renzo aldo trisotti martinez,RENZO ALDO TRISOTTI MARTINEZ,http://datos.bcn.cl/recurso/cl/documento/704142#per47,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per84,http://datos.bcn.cl/recurso/persona/4216,4216,mario marcel cullel,MARIO MARCEL CULLEL,http://datos.bcn.cl/recurso/cl/documento/704142#per84,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per98,http://datos.bcn.cl/recurso/persona/4608,4608,leonidas andres romero saez,LEONIDAS ANDRES ROMERO SAEZ,http://datos.bcn.cl/recurso/cl/documento/704142#per98,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per77,http://datos.bcn.cl/recurso/persona/1021,1021,victor echaurren valero,VICTOR ECHAURREN VALERO,http://datos.bcn.cl/recurso/cl/documento/704142#per77,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per123,http://datos.bcn.cl/recurso/persona/4548,4548,claudia nathalie mix jimenez,CLAUDIA NATHALIE MIX JIMENEZ,http://datos.bcn.cl/recurso/cl/documento/704142#per123,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per17,http://datos.bcn.cl/recurso/persona/4606,4606,juan ignacio latorre riveros,JUAN IGNACIO LATORRE RIVEROS,http://datos.bcn.cl/recurso/cl/documento/704142#per17,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per133,http://datos.bcn.cl/recurso/persona/3013,3013,juan alberto garcia romero,JUAN ALBERTO GARCIA ROMERO,http://datos.bcn.cl/recurso/cl/documento/704142#per133,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per60,http://datos.bcn.cl/recurso/persona/4542,4542,paulina andrea nunez urrutia,PAULINA ANDREA NUNEZ URRUTIA,http://datos.bcn.cl/recurso/cl/documento/704142#per60,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per75,http://datos.bcn.cl/recurso/persona/5293,5293,flavio quezada rodriguez,FLAVIO QUEZADA RODRIGUEZ,http://datos.bcn.cl/recurso/cl/documento/704142#per75,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per52,http://datos.bcn.cl/recurso/persona/1935,1935,maximiliano poblete cortes,MAXIMILIANO POBLETE CORTES,http://datos.bcn.cl/recurso/cl/documento/704142#per52,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per88,http://datos.bcn.cl/recurso/persona/5201,5201,daniel manouchehri lobos,DANIEL MANOUCHEHRI LOBOS,http://datos.bcn.cl/recurso/cl/documento/704142#per88,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per0,http://datos.bcn.cl/recurso/persona/5200,5200,ricardo cifuentes lillo,RICARDO CIFUENTES LILLO,http://datos.bcn.cl/recurso/cl/documento/704142#per0,False,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per24,http://datos.bcn.cl/recurso/persona/5351,5351,pilar alejandra gema cuevas mardones,PILAR ALEJANDRA GEMA CUEVAS MARDONES,http://datos.bcn.cl/recurso/cl/documento/704142#per24,True,False,False
